ID,Start_time,End_time,English,Español,Dominant_Hand,Non_Dominant_Hand
1,669,3074,The house is on fire,La casa está ardiendo,CASA COCINAR,CASA COCINAR
2,9939,14823,The mother covers the boy with a blanket,La madre tapa al niño con una manta,MADRE HOMBRE ACOSTARSE cl.m(Q):tapar+con-manta,MADRE 0 ACOSTARSE cl.m(Q):tapar+con-manta
3,18314,22261,The men searched for the women,Los hombres buscaron a las mujeres,HOMBRE SEGUIR.MASA MUJER BUSCAR(2Msu),0 SEGUIR.MASA 0 BUSCAR(2Msu)
4,28994,33005,The girl is laughing,La niña se está riendo,MUJER PEQUEÑO2 REÍR,0 0 REÍR
5,36392,39892,It is raining,Está lloviendo,LLOVER AGUA,LLOVER 0
6,47937,54824,The girl sends flowers to her grandmother,La chica envía flores a la abuela,MUJER JOVEN FLOR REGALAR ABUELO MUJER,0 0 0 REGALAR 0 0
7,60223,65233,The man is growing potatoes,El hombre está cultivando patatas,HOMBRE PERSONA ARAR PATATA(M-DE),0 0 ARAR PATATA(M-DE)
8,70535,72955,The man hunts,El hombre caza,HOMBRE CAZAR,0 CAZAR
9,76619,79723,The horse is galloping,El caballo está corriendo,CABALLO cl.e(2b):PERSONA-ascender+a-caballo CABALLO,CABALLO cl.e(Bl):CABALLO CABALLO
10,84130,87460,The boy is crying,El niño está llorando,HOMBRE PEQUEÑO2 LLORAR(2Msu),0 0 LLORAR(2Msu)
11,91869,96608,The woman cuts the bread with a knife,La mujer corta el pan con un cuchillo,MUJER PERSONA cl.d(Qa&amp;gt;Q):barra-forma cl.m(B):cuchillo-cortar-pan,0 0 cl.d(Qa&amp;gt;Q):barra-forma cl.e(C):PAN
12,107812,114960,The girl talks to the boy about her dog,La chica le habla al chico de su perro,MUJER PERSONA EXPLICAR HOMBRE PERSONA TEMA PERRO,0 0 EXPLICAR 0 0 TEMA 0
13,121359,126323,The women grind grain in the mortar,Las mujeres muelen el grano en el mortero,MUJER PERSONA cl.m(5d):echar-grano-en+mortero cl.m(A):moler-grano-en+mortero,0 0 cl.e(C):MORTERO B:cl.e(C):MORTERO
14,144373,148574,The man pushes the woman and she fell into the water,El hombre empuja a la mujer y (esta) se cae al agua,HOMBRE PERSONA EMPUJAR MUJER cl.e(2b):PERSONA-caer+de-suelo AGUA,0 0 EMPUJAR 0 cl.e(Bh):SUELO 0
15,153193,160149,The boy showed the photo to the teacher,El profesor les enseñó las fotos a los chicos (*?*),PROFESOR EDUCAR cl.e(5h):PERSONAS-filas HOMBRE PEQUEÑO2 JOVEN FOTOGRAFÍA,0 EDUCAR cl.e(5h):PERSONAS-filas 0 0 JOVEN FOTOGRAFÍA
16,168562,171426,The man is sick,El hombre está enfermo,HOMBRE PERSONA ENFERMO,0 0 ENFERMO
17,176199,181362,Women are shouting at the boys/girls,Las mujeres les gritan a los niñ@s,MUJER PERSONA(2Msu) GRITAR(2M) PEQUEÑO2(2M) HOMBRE MUJER,0 PERSONA(2Msu) GRITAR(2M) PEQUEÑO2(2M) 0 0
18,189937,193223,The boy likes the toy,Al niño le gusta el juguete,HOMBRE PEQUEÑO2 GUSTAR JUGAR(CT),0 0 0 JUGAR(CT)
19,196812,203164,The bear hears the man (approach),El oso oyó (llegar) al hombre,OSO ESCUCHAR cl.e(1):PERSONA-aproximarse HOMBRE MUJE- HOMBRE PERSONA,OSO 0 0 0 0 0 0
20,211199,216184,The men made a wooden house,Los hombres hicieron una casa de madera,HOMBRE PERSONA MANUAL MADERA CASA ARREGLAR CONSTRUIR,0 0 MANUAL MADERA CASA ARREGLAR CONSTRUIR
21,220789,226136,The woman tells a joke to the man,La mujer cuenta un chiste al hombre,MUJER PERSONA INFORMAR REÍR HOMBRE,0 0 INFORMAR REÍR 0
