ID,Start_time,End_time,English,Español,Dominant_Hand,Non_Dominant_Hand
1,1400,4510,(There is) a meadow (among) the hills,(Hay) Un prado (entre) colinas,UNO cl.d(5):prado PAISAJE,0 cl.d(5):prado PAISAJE
2,4565,5457,(with) a tree,(hay) un árbol,UNO ÁRBOL,0 ÁRBOL
3,5472,5951,(towards which) a (person) is approaching,(hacia el que) viene una (persona),VENIR(B) UNO,B:ÁRBOL B:ÁRBOL
4,5993,6572,walking,camina,CAMINAR(MP),CAMINAR(MP)
5,6581,7149,(And) approaches (the tree).,(y) va (hasta el árbol).,IR,IR
6,7241,10082,He leaves a few baskets on the floor,Deja unas cestas en el suelo,cl.d(C):cesta cl.d(1):cesta cl.m(Xc):colocar-cestas,cl.d(C):cesta cl.d(1):cesta cl.m(Xc):colocar-cestas
7,10438,12595,(and begins to) collect pears,(y empieza a) recoger peras,PERA4(Q) COGER,0 cl.e(Bh):LOCALIZACIÓN
8,12669,14119,depositing them in the [apron] pocket.,depositándolas en el regazo [del mandil].,cl.d(5):regazo ARROJAR,cl.d(5):regazo B:cl.d(5):regazo
9,14262,16301,(He plucks pears) from the tree and deposits them in his apron pocket,(Coge las peras) del árbol y las deposita en el regazo,INDX.DEM ÁRBOL cl.m(A&amp;gt;5d):arrojar-peras,B:cl.d(5):regazo ÁRBOL cl.e(Bd):REGAZO
10,16375,18993,then put the pears in the baskets,después las deja en las cestas.,DESPUÉS cl.m(Xc):colocar-cestas G.ADAPT,0 cl.m(Xc):colocar-cestas 0
11,19023,22182,A person comes on a bicycle,Viene una persona en bicicleta,UNO BICICLETA VENIR(B),0 BICICLETA 0
12,22212,23990, and places a basket on the bike, (que) sube una cesta a la bicicleta,BICICLETA cl.m(Xc):colocar-cesta,BICICLETA cl.m(Xc):colocar-cesta
13,24046,26010,(puts) the basket on the bicycle handlebar,(pone) la cesta sobre el manillar de la bicicleta,cl.d(Cc):manillar BICICLETA cl.e(5d):CESTA-sobre-manillar,cl.d(Cc):manillar BICICLETA cl.e(Bh):BICICLETA
14,26071,27450,places the basket on the bike,sube la cesta a la bicicleta.,cl.m(Xc):colocar-cesta,cl.m(Xc):colocar-cesta
15,27606,28810,(and starts) pedalling,(Empieza a) pedalear,BICICLETA,BICICLETA
16,28870,30552,He pedals away along a path,(se va) pedaleando por un camino,CAMINO BICICLETA,CAMINO BICICLETA
17,30654,31900,moving into the distance.,se aleja.,cl.e(Bl):BICICLETA-alejarse,B:BICICLETA
