ID,Start_time,End_time,English,Español,Dominant_Hand,Non_Dominant_Hand
1,1030,3640,The house is on fire,La casa está ardiendo,CASA COCINAR,CASA COCINAR
2,9890,14850,The mother cover’s the baby,La madre tapa al bebé,MADRE BEBÉ cl.m(Q):tapar+con-manta,0 BEBÉ cl.m(Q):tapar+con-manta
3,19470,24470,The men searched for the women,Los hombres buscan a las mujeres,HOMBRE PERSONA(2Msu) BUSCAR(2Msu) MUJER DÓNDE,0 PERSONA(2Msu) BUSCAR(2Msu) 0 0
4,29714,33728,The woman laughed,La mujer se rió,MUJER NIÑO INDX REÍR(CT),0 NIÑO B:NIÑO REÍR(CT)
5,36939,41320,It is raining now,Ahora está lloviendo,ACTUAL LLOVER,ACTUAL LLOVER
6,49485,54108,The girl gives flowers to her grandmother,La mujer da flores a la abuela,MUJER PERSONA FLOR cl.m(C):dar-ramo ABUELO INDX,0 0 0 cl.m(C):dar-ramo 0 0
7,59214,63993,The farmer grows potatoes,El agricultor cultiva patatas,HOMBRE PERSONA ARAR CULTIVAR QUÉ PATATA,0 0 ARAR CULTIVAR 0 PATATA
8,70738,73733,The man hunts,El hombre caza,HOMBRE PERSONA CAZAR,0 0 CAZAR
9,77458,81562,The horse gallops,El caballo corre,CABALLO CABALLO,CABALLO CABALLO
10,84282,87620,The boy cries,El niño llora,HOMBRE PEQUEÑO2 LLORAR(2Msu),0 0 LLORAR(2Msu)
11,91957,96697,The woman cuts bread (with a knife),La mujer corta el pan (con un cuchillo),MUJER PERSONA MANUAL cl.m(B):cuchillo-cortar-pan PAN,0 0 MANUAL cl.e(Bh):PAN PAN
12,108780,115110,The girl tells the boy about her dog,La chica le habla de su perro al chico,MUJER PERSONA EXPLICAR TEMA SU PERRO INDX.AUX HOMBRE PERSONA,0 0 EXPLICAR TEMA SU 0 0 0 0
13,120350,127596,The women grind grain (in the mortar),Las mujeres muelen el grano (en el mortero),MUJER PERSONA cl.m(A):moler-grano-en+mortero cl.m(A&amp;gt;5d):echar-grano GRANO cl.m(A):moler-grano-en+mortero,0 0 cl.e(Cc):MORTERO cl.m(A&amp;gt;5d):echar-grano GRANO cl.e(Cc):MORTERO
14,141830,147110,The man pushes the woman into the water,El hombre empuja a la mujer al agua,HOMBRE INDX.AUX MUJER EMPUJAR cl.e(2b):PERSONA-caer AGUA,0 0 0 EMPUJAR 0 0
15,155985,161855,The boy showed the photos to the teacher,Los chicos enseñan las fotos al profesor,HOMBRE PERSONA cl.m(B):mostrar-álbum FOTOGRAFÍA PERSONA EDUCAR,0 0 cl.m(B):mostrar-álbum FOTOGRAFÍA 0 EDUCAR
16,169330,172310,The boy is sick,El chico está enfermo,HOMBRE PERSONA ENFERMO FIEBRE,0 0 ENFERMO 0
17,177230,181660,Women are shouting at the boys,Las mujeres les gritan a los niños,MUJER PERSONA REGAÑAR HOMBRE PEQUEÑO2,0 0 REGAÑAR 0 0
18,190450,194220,The boy loves that toy,Al chico le encanta ese juguete,HOMBRE PERSONA ENCANTAR INDX JUGAR(CT),0 0 ENCANTAR 0 JUGAR(CT)
