ID,Start_time,End_time,English,Español,Dominant_Hand,Non_Dominant_Hand
1,71,3880,"""The three pigs and the wolf"".","""Los tres cerdos y el lobo"".",TÍTULO TRES CERDO OTRO UNO LOBO,TÍTULO 0 0 0 0 LOBO
2,3975,5090,I’m going to tell (this story).,Voy a contar.,INDX.PRO:1sg EXPLICAR,0 EXPLICAR
3,6677,8262,(There are) three pigs,(Hay) tres cerdos,TRES HERMANO- CERDO TRES,0 HERMANO- 0 0
4,8331,10866,The two... three of them are siblings.,los dos... los tres (son) hermanos.,LOS-DOS LOS-TRES TAMBIÉN HERMANO LOS-TRES,0 0 0 HERMANO 0
5,10996,12851,Each one has a different character.,Cada uno (tiene) un carácter diferente.,CADA-UNO TIPO DIFERENTE,0 TIPO DIFERENTE
6,13460,15825,The first loves to play,Al primero le encanta jugar,INDX:primero ENCANTAR JUGAR(CT),B.L(1) ENCANTAR JUGAR(CT)
7,15892,17130,The second also (likes) playing,al segundo también (le gusta) jugar,INDX:segundo TAMBIÉN JUGAR,B.L(2) B.L(2) JUGAR
8,17269,18637,and the third is serious,y el tercero (es) serio,INDX:tercero UNO TRISTE,B.L(3) B.L(3) B.L(3)
9,18654,20194,focused on work.,centrado en trabajar.,MENTE^CONCENTRAR TRABAJAR G(B):vale,MENTE^CONCENTRAR TRABAJAR B:TRABAJAR
10,20321,21386,Let me explain.,Explico.,INDX.PRO:1sg EXPLICAR,0 EXPLICAR
11,21581,23761,Another (personality is) the wolf which wants to eat (them),Otro (personaje es) un lobo que quiere comer(los),OTRO LOBO 0 0 MENTE^OBJETIVO COMER,0 0 LOBO MENTE^OBJETIVO 0 0
12,23791,24391,eat them,comerlos,MORDER,0
13,24431,26681,It wants to eat the three pigs all three of them.,quiere comer a los tres cerdos a todos quiere (comer).,QUERER TRES CERDO COMER TODO QUERER G(B):vale,0 0 0 0 TODO 0 0
14,27206,28588,I am going to explain.,Empiezo a explicar.,EMPEZAR INDX EXPLICAR,EMPEZAR 0 EXPLICAR
15,28863,30658,A person... No sorry.,Una persona... No perdón.,UNO PERSONA PERDÓN,0 0 PERDÓN
16,30784,37048,A pig is building what? a house how do he does that? with bundles of straw.,Un cerdo (está) haciendo (¿qué?) una casa( ¿cómo la hacía?) con manojos de paja.,UNO CERDO SECCIÓN(1M) ARREGLAR OBJETIVO CUÁL CASA CÓMO LIGERO MADERA PALO,0 0 0 ARREGLAR OBJETIVO CUÁL CASA 0 LIGERO MADERA PALO
