ID,Start_time,End_time,English,Español,Dominant_Hand,Non_Dominant_Hand
1,2144,5040,In a field between green mountains  ,En un lugar entre montañas verdes había un campo ,PAISAJE VERDE cl.d(5):hierba-recubriendo-monte CAMPO cl.e(L):CAMPO-localización,PAISAJE B:PAISAJE B:PAISAJE CAMPO cl.e(L):CAMPO-localización
2,5270,6188,lay  a tree.,en el que se encontraba un árbol.,ÁRBOL 0,ÁRBOL cl.e(5):ÁRBOL
3,6552,9177,The weather was hot like in the summer.,Hacía muy buen tiempo como de verano.,CLIMA BUENO IGUAL VERANO ES.ASÍ,0 0 IGUAL B:IGUAL ES.ASÍ
4,9239,9570,continues,Sigo.,G:prosigo,0
5,10221,12413,A man climbed up the tree (with a ladder),Un hombre estaba subido a un árbol (con ayuda de una escalera),HOMBRE PERSONA ÁRBOL cl.e(2d):PERSONA-ascender+a-árbol,0 0 ÁRBOL cl.e(5):ÁRBOL
6,12809,14972,this was a pear tree.,Era un peral.,QUÉ TIPO PERA,0 TIPO 0
7,15118,16334,He began picking pears to pack into the sack he was carrying.,Comenzó a recoger peras para el saco que portaba.,cl.m(5d&amp;gt;5):coger+guardar-fruta,cl.e(B):SACO
8,16445,17512,He had a beard and was wearing a wide-brimmed hat,Tenía barba y llevaba puesto un sombrero de ala ancha.,cl.d(Qa):sombrero-ala-ancha cl.d(5d):barba-forma,cl.d(Qa):sombrero-ala-ancha cl.d(5d):barba-forma
9,17580,18521,(and) was plucking pears from different branches,Estaba cogiendo peras de distintas ramas,cl.m(5d&amp;gt;5):coger+guardar-fruta,cl.e(B):SACO
10,18528,18970,The man was at the tree top ,Subido en lo alto del árbol,cl.e(2d):PERSONA-ascender+a-árbol,cl.e(5):ÁRBOL
11,18977,20372,picking the pears.,cogía y cogía las peras.,cl.m(5d&amp;gt;5):coger+guardar-fruta,cl.e(B):SACO
12,20454,21807,when a pear fell rolling outside the sack.,Una pera cayó rodando por fuera del saco.,UNO MANZ- PERA2 cl.e(Cc):FRUTA-caer+de-saco,B:cl.e(B):SACO B:cl.e(B):SACO B:cl.e(B):SACO B:cl.e(B):SACO
13,22034,23209,The man continued picking pears and upon finishing,El hombre siguió recogiendo peras y al acabar,cl.m(A&amp;gt;5):coger+guardar-fruta LISTO(1M),B:cl.e(B):SACO B:cl.e(B):SACO
14,23292,24414,he climbed down the tree,bajó del árbol.,cl.e(2d):PERSONA-descender+de-árbol LISTO(1M),cl.e(5):ÁRBOL B:cl.e(5):ÁRBOL
15,24698,27176,(Under the tree) there was a line of three baskets,(Bajo el árbol) situadas en línea estaban tres cestas,CESTO TRES CESTO TRES,CESTO B:CESTO CESTO B:CESTO
16,27389,29162,containing pears (that the man had emptied) from the sack,que contenían las peras (que el hombre echaba) del saco,cl.d(5d):saco-del-regazo AHORA HABER PERA cl.d(5d):cestas-llenas-de-peras,cl.d(5d):saco-del-regazo 0 0 0 cl.d(5d):cestas-llenas-de-peras
17,29299,30706,He put the pears in the baskets.,Vació las peras en las cestas.,cl.m(Cc&amp;gt;5d):echar-fruta,cl.m(Cc&amp;gt;5d):echar-fruta
18,30775,32328,He picked a pear and observed it carefully.,Tomó una pera y la observó bien.,UNO cl.m(5d):coger-fruta cl.m(5d):examinar-fruta,B:cl.m(Cc&amp;gt;5d):echar-fruta cl.m(5d):coger-fruta cl.m(5d):examinar-fruta
19,33036,34244,It was the pear that had fallen earlier.,Era la pera que previamente había caído al suelo.,LO-DE-ANTES cl.e(Cc):FRUTA-caer-suelo INDX,0 cl.e(Bh):SUELO 0
20,34333,36327,He took it in his hands and looked to see if it was clean,La tomó en sus manos y observó detenidamente si estaba limpia,COGER cl.m(5d):examinar-fruta PURO,0 cl.m(5d):examinar-fruta cl.m(5d):agarrar-fruta
21,36363,38791,"""Ah!"" ""I (can) clean it with the handkerchief” (he thought)","""Ah!"" (se dijo) ""Con el pañuelo (puedo) limpiar la pera""",G:¡ah! PAÑOLETA cl.m(4d):frotar-fruta PURO,cl.m(5d):agarrar-pera PAÑOLETA cl.m(C):agarrar-fruta B:cl.m(C):agarrar-fruta
22,38801,40065,and put it in the basket with care.,Y la depositó en el cesto con cuidado.,cl.m(4d):colocar-fruta PREPARAR LISTO 0,cl.m(C):colocar-fruta PREPARAR LISTO
23,40176,41161,He saw that the baskets were getting full,Vio que las cestas estaban listas,MIRAR LISTO,B:ASÍ LISTO
24,41241,42629,climbed back into the tree,subió de nuevo al árbol,AHORA OTRA-VEZ cl.e(2d):PERSONA-ascender+a-árbol,0 OTRA-VEZ cl.e(5):ÁRBOL
25,42831,43572,(and) continued collecting pears.,siguió recogiendo peras.,cl.m(5d):coger+guardar-fruta,cl.e(B):SACO
26,43988,49754,Then came another person a boy wearing a hat on a huge bike.,Entonces llegó otra persona un niño con sombrero pedaleando en una bicicleta enorme.,OTRO VENIR UNO HOMBRE PEQUEÑO2 CON SOMBRERO CON BICICLETA ENORME BICICLETA BICICLETA cl.m(A):agarrar-manillar,B:cl.e(B):SACO B:cl.e(B):SACO B:cl.e(B):SACO B:cl.e(B):SACO B:cl.e(B):SACO CON SOMBRERO CON BICICLETA B:BICICLETA BICICLETA BICICLETA cl.m(A):agarrar-manillar
27,49928,50662,The man continued plucking pears.,El hombre seguía recogiendo peras.,cl.m(5d):coger+guardar-fruta,cl.e(B):SACO
