ID,Start_time,End_time,English,Español,Dominant_Hand,Non_Dominant_Hand
1,1240,4450,A person similar to a cowboy,Una persona parecida a un vaquero,UNO PERSONA MÁS-O-MENOS(1M) VAQUERO G:quizá,0 0 0 VAQUERO G:quizá
2,4460,6542,climbed up [a tree],se sube [a un árbol],DESPUÉS cl.e(2d):PERSONA-ascender-referencia,0 cl.e(2d):REFERENCIA
3,6542,7750,to pick pears,a coger peras.,COGER PERA3,0 0
4,7790,9760,He is collecting pears.,Está cogiendo peras,cl.m(5d&amp;gt;5):coger+guardar-pera,0
5,9780,12029,and one falls [to the ground],y una se cae,UNO cl.e(A):PERA-descender ACABAR(1M) LISTO,0 0 0 LISTO
6,12029,13230,The person climbs down [the tree],La persona se baja,cl.e(2d):PERSONA-descender,0
7,13262,16132,and after emptying his catch of pears,y cuando vacía las peras,cl.m(Cc&amp;gt;5d):tirar-peras LISTO,cl.m(Cc&amp;gt;5d):tirar-peras LISTO
8,16160,17899,picks a pear,Coge una pera,OTRA-VEZ(1M) cl.m(5d):coger-pera,0 0
9,17899,19039,wipes it,la frota,cl.m(B):frotar-pera/cl.m(Xc):sostener-pera,0
10,19039,20670,and leaves it [in the basket].,y la deja,cl.m(5d):dejar-pera ACABAR(1M),0 0
11,20692,23942,A man appears cycling to his right,Por su derecha aparece un hombre en bicicleta,MIRAR HOMBRE UNO BICICLETA,0 0 0 BICICLETA
12,23976,25642,and approaches,que se acerca,DESPUÉS cl.e(1):BICICLETA-desplazarse,B:BICICLETA B:BICICLETA
13,25642,26369,and stops (opposite him).,y para (enfrente),PARAR,PARAR
14,26369,27733,He then prepares [the basket],Después prepara [la cesta],DESPUÉS PREPARAR,0 PREPARAR
15,27733,28562,places it on the bike,coloca la cesta,cl.m(Xc):mover-cesta,cl.m(Xc):mover-cesta
16,28562,29075,climbs on the bike,se sube en la bicicleta,cl.e(2b):PERSONA-subir-bicicleta,cl.e(1):BICICLETA
17,29075,30089,leaves the basket,deja la cesta,cl.m(Xc):bajar-cesta,cl.m(Xc):bajar-cesta
18,30110,30823,and returns ,y vuelve ,VOLVER,VOLVER
19,30823,31840,to raise the basket.,a subir la cesta,cl.m(Xc):subir-cesta,cl.m(Xc):subir-cesta
20,31902,34482,He then places the basket on the wheel,Después coloca la cesta en la rueda,DESPUÉS cl.m(Xc):subir-cesta INDX cl.e(O):RUEDA 0 cl.m(Xc):subir-cesta,0 cl.m(Xc):subir-cesta B:cl.m(Xc):subir-cesta B:cl.m(Xc):subir-cesta cl.m(Xc):subir-cesta
21,34482,35833,you know where ah on the...,Sabes aí en la...,SABER INDX,B:cl.m(Xc):subir-cesta B:cl.m(Xc):subir-cesta
22,35833,37396,on the front wheel ,en la rueda delantera coloca la cesta,cl.e(O):RUEDA cl.m(Xc):colocar-cesta,cl.e(O):RUEDA cl.m(Xc):colocar-cesta
23,37396,38487,The man then rides standing up on the bike,El hombre va de pie en la bicicleta,HOMBRE cl.e(2b):PERSONA-montar-bicicleta,0 cl.e(L):BICICLETA
24,38487,39522,not seated on the bike,no va sentado,SENTAR NO,SENTAR 0
25,39522,39984,He rides standing up,va de pie,cl.e(2b):PERSONA-montar-bicicleta,cl.e(L):BICICLETA
26,39984,41968,pedalling hard,pedaleando con esfuerzo,BICICLETA,BICICLETA
27,41968,43452,Someone arrives on a bike,Viene uno en bicicleta,UNO VENIR BICICLETA,0 0 BICICLETA
28,43452,44281,and they both crash into each other,chocan,cl.e(A):BICICLETA-chocar-bicicleta,cl.e(A):BICICLETA-chocar-bicicleta
