ID,Start_time,End_time,English,Español,Dominant_Hand,Non_Dominant_Hand
1,256,1266,Can we start?,¿Empezamos?,EMPEZAR,EMPEZAR
2,1496,2316,Do you want me to?,¿Quieres,QUERER,0
3,2316,4526,Tell you a past story?,(que te) cuente (una) historia pasada?,INFORMAR PASADO(2Msu) HISTORIA,INFORMAR PASADO(2Msu) HISTORIA
4,4526,7346,A child whose sign is this,Un niño (su signo es) éste,INDX HOMBRE PERSONA SN:niño,0 0 0 0
5,7346,9296,A frog whose sign is this,(una) rana (su) signo (es) éste,RANA SIGNO SN:rana,RANA 0 0
6,9296,11706,And a dog whose sign is this,(y un) perro (su signo es) éste.,PERRO SN:perro,0 0
7,12016,15806,Then the child [with this sign] is facing the frog [whose sign is],Entonces el niño [su signo] (está) mirando la rana [su signo],ENTONCES HOMBRE PEQUEÑO2 SN:niño MIRAR RANA SN:rana,ENTONCES 0 0 0 0 RANA 0
8,15806,17406,which is in a glass jar,(que está) dentro de un frasco de cristal,DENTRO CRISTAL2 cl.d(B):frasco-forma,DENTRO 0 cl.d(B):frasco-forma
9,17406,19186,The dog (which is near) is also looking,El perro (al lado también está) mirando,PERRO SN:perro MIRAR,0 0 0
10,19196,20136,and playing (with the frog),(y) jugando (con la rana),JUGAR,JUGAR
11,20136,21256,the bed is behind them,(tiene) la cama detrás,CAMA cl.e:CAMA-localización,CAMA cl.e:CAMA-localización
12,21256,22646,and playing (with the frog),(está) jugando (con la rana).,JUGAR,JUGAR
13,22806,23536,It is night,(Es) de noche,NOCHE,NOCHE
14,23536,26230,There is a glass window in front,hay enfrente unha ventana de cristales,VENTANA MIRAR cl.d(4):ventana-forma,VENTANA 0 cl.d(4):ventana-forma
15,26230,26905,that is open,que está abierta,cl.e(B):VENTANA-ascender,cl.e(Bh):VENTANA
16,26905,28780,(and one can see) the sun set,(y se ve) el sol caer,ANOCHECER,ANOCHECER
17,28836,31006,The boy has gone to bed,El niño se ha metido en cama,HOMBRE PEQUEÑO2 ACOSTARSE,0 0 ACOSTARSE
18,31006,32676,and the dog (sleeps) at the foot of the bed,(y) el perro (duerme) a los pies de la cama,PERRO cl.e(2d):PERRO-sobre-cama,B:ACOSTARSE cl.e(Bh):CAMA
19,32736,34706,The sun has risen,Ha salido el sol,YA AMANECER SOL,0 AMANECER 0
20,34846,35890,(The child goes to) see (the frog),(El niño se dirige a) ver (la rana),MIRAR,0
21,35890,37946,(But) the frog has disappeared,(pero) la rana ha desaparecido,PERRO- RANA DESAPARECER,0 RANA DESAPARECER
22,37986,40596,"(The child asks) ""Where is it?""","(El niño) ""¿Dónde (está)?""",MIRAR DÓNDE G(5)(2M):interrogativo,B:DESAPARECER 0 G(5)(2M):interrogativo
23,40596,41837,(The child begins to) worry ,(El niño empieza a) preocuparse,PROBLEMA,PROBLEMA
24,41956,44916,(That) the frog would bite her at night ,La rana antes por la noche pícara ella,RANA ANTES2 NOCHE G(X)(2M):maquinación,RANA ANTES2 NOCHE G(X)(2M):maquinación
25,44916,46996,(since) the bottle (it was in) had no lid on it,(como) el frasco de cristal (en el que estaba) no tenía tapa,CRISTAL2 cl.d(B):forma-frasco cl.m(5d):abrir-tapa NADA(1M),0 cl.d(B):forma-frasco B:cl.d(B):forma-frasco B:cl.d(B):forma-frasco
26,46996,47776,The frog looked out,se asomó,cl.e(2d):asomarse-frasco,cl.e(B):FRASCO
27,47776,48276,stretched a leg to the ground,estiró una anca hasta el suelo,cl.c(X):PATA-estirar,cl.c(X):PATA
28,48276,49096,And walked stealthily,caminó sigilosa,cl.c(X):PATAS-andar,cl.c(X):PATAS-andar
29,49096,49696,and disappeared.,(y) desapareció.,DESAPARECER(1M),0
30,49806,51178,Then what is the matter?,Entonces ¿cuál (es) la cuestión?,ENTONCES PROBLEMA QUÉ,ENTONCES PROBLEMA 0
31,51178,53537,The child is looking for it,El niño busca dónde está,SN:niño BUSCAR(2Msu) DÓNDE,0 BUSCAR(2Msu) 0
32,53537,54079,looking for it,busca,BUSCAR(2Msu),BUSCAR(2Msu)
33,54079,54997,He calls out (to it),(la) llama,GRITAR2,0
34,54997,55422,looking for it,busca...,BUSCAR(2Msu),BUSCAR(2Msu)
35,55546,56486,The dog sniffs the jar,El perro se mete en el frasco,PERRO MIRAR- cl.e(2d):PERRO-entrar-frasco,0 0 cl.e(B):FRASCO
36,56496,57071,to smell it,(para) olerlo,OLER2,B:cl.e(B):FRASCO
37,57071,57679,It is sniffing the jar ,está oliendo el frasco,cl.e(2d):PERRO+FRASCO-desplazarse,cl.e(B):PERRO+FRASCO-desplazarse
38,57679,58320,and it is stuck,y se le queda atorado,cl.e(C):FRASCO-en-cabeza,cl.e(C):FRASCO-en-cabeza
39,58320,59219,with its snout inside,con la cabeza dentro,cl.c(A):cabeza-entrar-frasco,cl.e(C):FRASCO
40,59221,59772,What a disappointment,qué chasco,IRREVERSIBLE,B:cl.e(C):FRASCO
41,59775,60597,It remains there with its snout in the jar.,se queda aí con la cabeza en el frasco.,cl.e(C):FRASCO-en-cabeza,cl.e(C):FRASCO-en-cabeza
42,60886,62195,The child continues the search,El niño busca,HOMBRE SN:niño BUSCAR(2Msu),0 0 BUSCAR(2Msu)
