ID,Start_time,End_time,English,Español,Dominant_Hand,Non_Dominant_Hand
1,276,3522,A dog sitting opposite,Un dormitorio con una cama; un niño sentado a los pies de la cama,HABITACIÓN CAMA HOMBRE cl.e(2d):PERSONA-sentada,HABITACIÓN CAMA 0 0
2,3522,5159,Hmm...,un perro sentado enfrente,B:cl.e(2d):PERSONA-sentada cl.e(2d):PERSONA-sentada-con+perro,PERRO cl.e(Hd):PERRO-sentado-con+persona
3,5159,8999,They look at the jar surprised,Un frasco con una rana dentro,cl.d(5d):frasco RANA cl.e(Hd):RANA-en-frasco,cl.d(5d):frasco RANA cl.e(C):FRASCO
4,8999,12637,Leaves It,(El niño y perro) miran (fijamente la rana).,MIRAR(2M),MIRAR(2M)
5,12637,13985,and begins to search here,El niño y el perro se van,B:MIRAR cl.e(2b):PERSONA-desplazarse-con+perro,B:MIRAR cl.e(2b):PERRO-desplazarse-con+persona
6,13985,16130,to search here,(el niño) se mete en cama,CAMA ACOSTARSE,CAMA ACOSTARSE
7,16130,18947,it looks carefully,(y el perro) se sube a la cama,B:ACOSTARSE cl.e(Bh):CAMA cl.e:CAMA,PERRO cl.e(2d):PERRO-ascender+a-cama cl.e(2d):PERRO-posarse-cama
8,18947,20476,stands up and looks inside something,La rana está dentro del frasco,cl.d(5d):frasco cl.e(Hd):RANA-en-frasco,cl.d(5d):frasco cl.e(C):FRASCO
9,20476,21295,The boy looks out the window,trepa por él,cl.e(2d):RANA-ascender+a-frasco,B:cl.e(C):FRASCO
10,21295,22721,looking from inside the bottle,salta fuera,cl.e(2d):RANA-saltar+de-frasco,B:cl.e(C):FRASCO
11,22721,25823,until,y se aleja,cl.e(Hd):RANA-alejarse-frasco,B:cl.e(C):FRASCO
12,25823,26883,and the jar breaks,Desaparece,DESAPARECER,DESAPARECER
13,28081,30616,and gets blown into smithereens,(Se hace) de día,DÍA,DÍA
14,30616,32160,when suddenly he sees the dog,Mmm...,G:mmm G:mmm,G:mmm G:mmm
15,32160,33166,and caresses it,El niño se levanta,cl.e(2b):PERSONA-descender+de-cama,cl.e(Bh):CAMA
16,33166,34840,The two begin to explore the place,el perro se levanta con el niño,cl.e(2d):PERRO-descender+de-cama PERRO cl.e(2d):PERRO-descender+de-cama cl.e(2d):PERRO-con+persona,B:cl.e(Bh):CAMA B:cl.e(Bh):CAMA B:cl.e(Bh):CAMA cl.e(2d):PERSONA-con+perro
17,34840,35514,They see something that makes them stop,miran (extrañados el frasco),MIRAR(2M),MIRAR(2M)
18,35514,38352,In front of them is a wood,(El niño) examina el frasco,cl.d(5d):frasco cl.m(C):examinar-frasco,cl.d(5d):frasco cl.m(C):examinar-frasco
19,38352,39149, there is a hive in one of the trees,lo deja,cl.m(C):colocar-frasco,cl.m(C):colocar-frasco
20,39149,39651,with bees swarming,(y se pone) a buscar (por aquí),BUSCAR(2Msu),BUSCAR(2Msu)
